year,province,gdp
1957,云南,22.5
1957,西藏,1.6
1957,陕西,25.6
1957,甘肃,20.1
1957,青海,4.0
1957,宁夏,2.6
1957,新疆,14.7
1958,北京,34.5
1958,天津,32.5
1958,河北,63.6
1958,山西,39.5
1958,内蒙古,28.1
1958,辽宁,105.6
1958,吉林,31.2
1958,黑龙江,61.6
1958,上海,95.6
1958,江苏,75.3
1958,浙江,43.8
1958,安徽,51.4
1958,福建,24.4
1958,江西,31.2
1958,山东,73.0
1958,河南,60.8
1958,湖北,61.5
1958,湖南,55.9
1958,广东,67.1
1958,广西,24.5
1958,海南,0
1958,重庆,34.1
1958,四川,62.2
1958,贵州,20.4
1958,云南,23.2
1958,西藏,1.7
1958,陕西,31.0
1958,甘肃,22.8
1958,青海,4.9
1958,宁夏,3.3
1958,新疆,16.9
1959,北京,46.3
1959,天津,41.3
1959,河北,74.2
1959,山西,48.3
1959,内蒙古,35.8
1959,辽宁,136.7
1959,吉林,37.2
1959,黑龙江,73.5
1959,上海,128.5
1959,江苏,79.6
1959,浙江,47.4
1959,安徽,58.0
1959,福建,29.2
1959,江西,34.6
1959,山东,76.0
1959,河南,64.0
1959,湖北,64.2
1959,湖南,62.0
1959,广东,73.5
1959,广西,26.8
1959,海南,0
1959,重庆,37.2
1959,四川,56.0
1959,贵州,23.5
1959,云南,25.4
1959,西藏,1.7
1959,陕西,35.6
1959,甘肃,23.7
1959,青海,6.9
1959,宁夏,4.4
1959,新疆,21.4
1960,北京,57.5
1960,天津,42.7
1960,河北,73.4
1960,山西,50.2
1960,内蒙古,36.6
1960,辽宁,158.1
1960,吉林,41.8
1960,黑龙江,80.5
1960,上海,158.4
1960,江苏,86.8
1960,浙江,47.3
1960,安徽,59.8
1960,福建,29.6
1960,江西,36.8
1960,山东,71.4
1960,河南,66.2
1960,湖北,63.6
1960,湖南,64.1
1960,广东,72.8
1960,广西,26.2
1960,海南,0
1960,重庆,37.9
1960,四川,40.6
1960,贵州,22.9
1960,云南,25.4
1960,西藏,2.6
1960,陕西,38.3
1960,甘肃,17.8
1960,青海,7.7
1960,宁夏,4.8
1960,新疆,25.2
1961,北京,36.6
1961,天津,28.4
1961,河北,54.9
1961,山西,34.1
1961,内蒙古,25.3
1961,辽宁,75.9
1961,吉林,31.9
1961,黑龙江,54.2
1961,上海,101.8
1961,江苏,72.2
1961,浙江,40.6
1961,安徽,43.7
1961,福建,23.3
1961,江西,35.5
1961,山东,63.4
1961,河南,46.3
1961,湖北,48.9
1961,湖南,46.6
1961,广东,62.2
1961,广西,23.8
1961,海南,0
1961,重庆,28.2
1961,四川,45.3
1961,贵州,18.1
1961,云南,22.9
1961,西藏,2.4
1961,陕西,31.6
1961,甘肃,11.8
1961,青海,5.4
1961,宁夏,4.2
1961,新疆,21.5
1962,北京,29.6
1962,天津,24.3
1962,河北,48.7
1962,山西,32.4
1962,内蒙古,25.1
1962,辽宁,74.1
1962,吉林,31.4
1962,黑龙江,54.6
1962,上海,84.7
1962,江苏,69.2
1962,浙江,43.4
1962,安徽,39.5
1962,福建,22.1
1962,江西,33.1
1962,山东,64.4
1962,河南,43.0
1962,湖北,52.1
1962,湖南,51.2
1962,广东,72.4
1962,广西,23.8
1962,海南,0
1962,重庆,24.4
1962,四川,50.4
1962,贵州,16.5
1962,云南,24.5
1962,西藏,2.4
1962,陕西,26.9
1962,甘肃,12.6
1962,青海,4.6
1962,宁夏,4.0
1962,新疆,17.7
1963,北京,31.7
1963,天津,26.7
1963,河北,44.8
1963,山西,33.7
1963,内蒙古,29.0
1963,辽宁,76.1
1963,吉林,35.9
1963,黑龙江,61.8
1963,上海,90.7
1963,江苏,75.5
1963,浙江,46.6
1963,安徽,40.8
1963,福建,23.6
1963,江西,32.7
1963,山东,67.6
1963,河南,42.5
1963,湖北,56.3
1963,湖南,48.1
1963,广东,81.8
1963,广西,24.5
1963,海南,0
1963,重庆,27.1
1963,四川,54.1
1963,贵州,16.8
1963,云南,25.6
1963,西藏,2.6
1963,陕西,27.4
1963,甘肃,16.3
1963,青海,4.9
1963,宁夏,4.0
1963,新疆,19.0
1964,北京,36.0
1964,天津,30.6
1964,河北,56.7
1964,山西,38.4
1964,内蒙古,32.6
1964,辽宁,87.2
1964,吉林,38.5
1964,黑龙江,68.2
1964,上海,100.7
1964,江苏,89.6
1964,浙江,51.8
1964,安徽,44.9
1964,福建,26.0
1964,江西,35.2
1964,山东,71.7
1964,河南,51.4
1964,湖北,61.4
1964,湖南,57.4
1964,广东,81.6
1964,广西,27.2
1964,海南,0
1964,重庆,31.5
1964,四川,59.2
1964,贵州,19.8
1964,云南,29.3
1964,西藏,2.8
1964,陕西,29.3
1964,甘肃,19.7
1964,青海,5.6
1964,宁夏,4.1
1964,新疆,21.6
1965,北京,39.8
1965,天津,36.0
1965,河北,72.7
1965,山西,43.9
1965,内蒙古,35.4
1965,辽宁,103.2
1965,吉林,42.9
1965,黑龙江,78.9
1965,上海,113.6
1965,江苏,95.1
1965,浙江,55.7
1965,安徽,52.7
1965,福建,28.8
1965,江西,43.0
1965,山东,86.3
1965,河南,63.0
1965,湖北,72.4
1965,湖南,65.3
1965,广东,87.0
1965,广西,31.5
1965,海南,0
1965,重庆,37.0
1965,四川,68.2
1965,贵州,24.4
1965,云南,33.6
1965,西藏,3.3
1965,陕西,35.9
1965,甘肃,25.0
1965,青海,6.1
1965,宁夏,4.7
1965,新疆,24.2
1966,北京,44.4
1966,天津,39.3
1966,河北,80.2
1966,山西,49.7
1966,内蒙古,38.3
1966,辽宁,112.6
1966,吉林,46.7
1966,黑龙江,92.1
1966,上海,124.8
1966,江苏,109.9
1966,浙江,58.3
1966,安徽,59.8
1966,福建,32.1
1966,江西,48.4
1966,山东,97.6
1966,河南,76.4
1966,湖北,84.0
1966,湖南,72.7
1966,广东,96.4
1966,广西,31.7
1966,海南,0
1966,重庆,38.2
1966,四川,74.0
1966,贵州,24.8
1966,云南,36.4
1966,西藏,3.5
1966,陕西,40.5
1966,甘肃,24.2
1966,青海,6.4
1966,宁夏,5.4
1966,新疆,26.8
1967,北京,37.9
1967,天津,33.6
1967,河北,78.1
1967,山西,44.9
1967,内蒙古,31.8
1967,辽宁,93.4
1967,吉林,44.3
1967,黑龙江,90.9
1967,上海,110.0
1967,江苏,99.2
1967,浙江,56.4
1967,安徽,56.9
1967,福建,29.3
1967,江西,44.5
1967,山东,99.4
1967,河南,78.5
1967,湖北,78.9
1967,湖南,73.5
1967,广东,96.0
1967,广西,31.2
1967,海南,0
1967,重庆,33.4
1967,四川,76.7
1967,贵州,24.0
1967,云南,34.2
1967,西藏,3.8
1967,陕西,36.8
1967,甘肃,23.1
1967,青海,7.0
1967,宁夏,5.5
1967,新疆,22.5
1968,北京,37.8
1968,天津,34.8
1968,河北,79.4
1968,山西,36.8
1968,内蒙古,33.0
1968,辽宁,86.9
1968,吉林,42.5
1968,黑龙江,88.9
1968,上海,123.2
1968,江苏,102.8
1968,浙江,54.9
1968,安徽,56.1
1968,福建,26.1
1968,江西,46.0
1968,山东,99.3
1968,河南,72.2
1968,湖北,73.1
1968,湖南,75.7
1968,广东,87.3
1968,广西,28.5
1968,海南,0
1968,重庆,27.1
1968,四川,75.0
1968,贵州,21.4
1968,云南,26.5
1968,西藏,3.5
1968,陕西,28.1
1968,甘肃,23.4
1968,青海,6.4
1968,宁夏,5.1
1968,新疆,19.8
1969,北京,50.6
1969,天津,42.9
1969,河北,92.2
1969,山西,45.4
1969,内蒙古,32.9
1969,辽宁,113.8
1969,吉林,45.2
1969,黑龙江,101.0
1969,上海,142.3
1969,江苏,111.8
1969,浙江,62.7
1969,安徽,58.1
1969,福建,31.1
1969,江西,51.9
1969,山东,108.2
1969,河南,80.9
1969,湖北,76.1
1969,湖南,81.3
1969,广东,98.6
1969,广西,35.2
1969,海南,0
1969,重庆,31.4
1969,四川,82.4
1969,贵州,21.1
1969,云南,34.3
1969,西藏,3.5
1969,陕西,40.7
1969,甘肃,27.3
1969,青海,7.0
1969,宁夏,5.9
1969,新疆,19.8
1970,北京,63.4
1970,天津,51.0
1970,河北,104.3
1970,山西,57.7
1970,内蒙古,39.2
1970,辽宁,136.8
1970,吉林,56.1
1970,黑龙江,111.2
1970,上海,156.7
1970,江苏,129.2
1970,浙江,69.2
1970,安徽,71.8
1970,福建,34.7
1970,江西,58.4
1970,山东,126.3
1970,河南,97.2
1970,湖北,88.2
1970,湖南,93.1
1970,广东,112.1
1970,广西,39.4
1970,海南,0
1970,重庆,38.2
1970,四川,90.0
1970,贵州,28.4
1970,云南,38.5
1970,西藏,3.7
1970,陕西,46.8
1970,甘肃,34.5
1970,青海,8.2
1970,宁夏,6.5
1970,新疆,23.1
1971,北京,61.1
1971,天津,55.1
1971,河北,107.6
1971,山西,62.1
1971,内蒙古,41.6
1971,辽宁,148.6
1971,吉林,60.9
1971,黑龙江,115.6
1971,上海,164.9
1971,江苏,148.0
1971,浙江,70.4
1971,安徽,80.0
1971,福建,41.0
1971,江西,62.2
1971,山东,139.7
1971,河南,104.8
1971,湖北,100.1
1971,湖南,99.1
1971,广东,113.2
1971,广西,45.8
1971,海南,0
1971,重庆,43.8
1971,四川,95.9
1971,贵州,32.3
1971,云南,43.5
1971,西藏,4.0
1971,陕西,57.7
1971,甘肃,37.9
1971,青海,9.3
1971,宁夏,8.1
1971,新疆,26.1
1972,北京,67.2
1972,天津,56.4
1972,河北,103.0
1972,山西,61.6
1972,内蒙古,39.4
1972,辽宁,154.0
1972,吉林,56.0
1972,黑龙江,115.7
1972,上海,171.0
1972,江苏,157.3
1972,浙江,84.4
1972,安徽,85.9
1972,福建,44.5
1972,江西,66.6
1972,山东,146.5
1972,河南,111.4
1972,湖北,102.8
1972,湖南,107.0
1972,广东,118.5
1972,广西,53.5
1972,海南,0
1972,重庆,43.2
1972,四川,98.8
1972,贵州,29.6
1972,云南,49.5
1972,西藏,4.3
1972,陕西,57.8
1972,甘肃,41.2
1972,青海,10.3
1972,宁夏,8.8
1972,新疆,24.4
1973,北京,73.0
1973,天津,60.3
1973,河北,112.6
1973,山西,66.2
1973,内蒙古,44.1
1973,辽宁,172.0
1973,吉林,63.3
1973,黑龙江,123.5
1973,上海,185.4
1973,江苏,170.9
1973,浙江,87.0
1973,安徽,92.3
1973,福建,43.6
1973,江西,66.8
1973,山东,154.3
1973,河南,117.1
1973,湖北,113.3
1973,湖南,115.8
1973,广东,129.0
1973,广西,58.5
1973,海南,0
1973,重庆,44.0
1973,四川,103.9
1973,贵州,28.4
1973,云南,54.6
1973,西藏,4.6
1973,陕西,59.6
1973,甘肃,43.9
1973,青海,11.1
1973,宁夏,9.0
1973,新疆,24.7
1974,北京,80.2
1974,天津,66.7
1974,河北,121.4
1974,山西,64.4
1974,内蒙古,43.3
1974,辽宁,185.1
1974,吉林,65.1
1974,黑龙江,131.4
1974,上海,193.5
1974,江苏,171.9
1974,浙江,86.6
1974,安徽,91.5
1974,福建,45.2
1974,江西,64.7
1974,山东,130.8
1974,河南,119.9
1974,湖北,107.3
1974,湖南,108.2
1974,广东,138.2
1974,广西,62.3
1974,海南,0
1974,重庆,43.3
1974,四川,108.8
1974,贵州,24.5
1974,云南,51.8
1974,西藏,4.9
1974,陕西,62.0
